ID_CLIENTE;SAFRA_REF;DATA_EMISSAO_DOCUMENTO;DATA_PAGAMENTO;DATA_VENCIMENTO;VALOR_A_PAGAR;TAXA
8123515208041701633;2018-08;2018-08-30;2018-09-17;2018-09-17;32146.21;5.99
8123515208041701633;2018-09;2018-09-13;2018-10-01;2018-10-01;38550.0;5.99
4530631557358349711;2018-08;2018-08-17;2018-09-03;2018-09-03;107187.16;11.99
4530631557358349711;2018-08;2018-08-21;2018-09-06;2018-09-06;99789.75;11.99
4530631557358349711;2018-08;2018-08-26;2018-09-11;2018-09-11;23311.2;11.99
4530631557358349711;2018-08;2018-08-29;2018-09-14;2018-09-14;53230.75;11.99
4530631557358349711;2018-08;2018-08-31;2018-09-17;2018-09-17;32393.95;11.99
4530631557358349711;2018-09;2018-09-09;2018-09-24;2018-09-25;37241.2;11.99
3668905663669864663;2018-08;2018-08-17;2018-09-03;2018-09-03;21476.35;8.99
3668905663669864663;2018-08;2018-08-30;2018-09-17;2018-09-17;65259.84;8.99
3668905663669864663;2018-09;2018-09-10;2018-09-27;2018-09-27;51354.65;8.99
7041489327620930099;2018-08;2018-08-17;2018-09-03;2018-09-03;33660.0;6.99
7041489327620930099;2018-08;2018-08-28;2018-09-14;2018-09-14;32668.25;6.99
7041489327620930099;2018-08;2018-08-30;2018-10-22;2018-10-05;1182.0;6.99
3118152790263512426;2018-08;2018-08-17;2018-09-10;2018-09-10;14993.27;5.99
3118152790263512426;2018-08;2018-08-17;2018-09-10;2018-09-10;24066.07;5.99
3118152790263512426;2018-08;2018-08-18;2018-09-11;2018-09-11;23563.07;5.99
3118152790263512426;2018-08;2018-08-22;2018-09-13;2018-09-13;23764.37;5.99
3118152790263512426;2018-08;2018-08-23;2018-09-14;2018-09-14;13609.54;5.99
3118152790263512426;2018-08;2018-08-24;2018-09-17;2018-09-17;23764.37;5.99
3118152790263512426;2018-08;2018-08-25;2018-09-18;2018-09-18;15787.21;5.99
3118152790263512426;2018-08;2018-08-25;2018-09-18;2018-09-18;23764.37;5.99
3118152790263512426;2018-08;2018-08-26;2018-09-17;2018-09-17;24267.38;5.99
3118152790263512426;2018-08;2018-08-26;2018-09-17;2018-09-17;23764.37;5.99
3118152790263512426;2018-08;2018-08-27;2018-09-19;2018-09-19;24488.85;5.99
3118152790263512426;2018-08;2018-08-27;2018-09-19;2018-09-19;47971.69;5.99
3118152790263512426;2018-08;2018-08-29;2018-09-20;2018-09-20;16194.61;5.99
3118152790263512426;2018-09;2018-09-03;2018-09-25;2018-09-26;17335.36;5.99
3118152790263512426;2018-09;2018-09-06;2018-10-01;2018-10-01;47957.2;5.99
3118152790263512426;2018-09;2018-09-06;2018-09-21;2018-09-28;47957.2;5.99
3118152790263512426;2018-09;2018-09-09;2018-10-01;2018-10-01;31866.16;5.99
3118152790263512426;2018-09;2018-09-10;2018-10-02;2018-10-02;32196.14;5.99
3118152790263512426;2018-09;2018-09-10;2018-09-28;2018-10-02;47957.2;5.99
3118152790263512426;2018-09;2018-09-13;2018-10-05;2018-10-05;24426.33;5.99
3118152790263512426;2018-09;2018-09-15;2018-10-09;2018-10-09;24436.64;5.99
1366416810235233769;2018-08;2018-08-17;2018-09-03;2018-09-03;79643.3;5.99
1366416810235233769;2018-08;2018-08-19;2018-09-04;2018-09-04;96610.41;5.99
1366416810235233769;2018-08;2018-08-22;2018-09-10;2018-09-10;77204.96;5.99
1366416810235233769;2018-08;2018-08-28;2018-09-13;2018-09-13;56958.38;5.99
1366416810235233769;2018-09;2018-09-03;2018-09-19;2018-09-19;66327.04;5.99
1366416810235233769;2018-09;2018-09-04;2018-09-21;2018-09-21;60837.47;5.99
4395946187332973749;2018-08;2018-08-17;2018-09-05;2018-09-05;37254.7;5.99
4395946187332973749;2018-08;2018-08-20;2018-09-06;2018-09-06;32256.4;5.99
1299146298565441811;2018-08;2018-08-17;2018-09-03;2018-09-03;76645.24;6.99
1299146298565441811;2018-09;2018-09-10;2018-09-26;2018-09-26;80054.35;6.99
1299146298565441811;2018-09;2018-09-11;2018-09-27;2018-09-27;100093.82;6.99
4052557282157719526;2018-08;2018-08-17;2018-09-03;2018-09-03;29891.85;4.99
6795467882769787169;2018-08;2018-08-17;2018-09-12;2018-09-12;79535.39;4.99
2550506309527280168;2018-08;2018-08-17;2018-09-11;2018-09-11;133221.74;5.99
8724731934863284019;2018-08;2018-08-17;2018-09-05;2018-09-05;79692.7;6.99
8724731934863284019;2018-08;2018-08-19;2018-09-04;2018-09-04;95984.15;6.99
8724731934863284019;2018-08;2018-08-22;2018-09-10;2018-09-10;117316.25;6.99
8724731934863284019;2018-08;2018-08-30;2018-10-05;2018-10-05;1182.0;6.99
8724731934863284019;2018-09;2018-09-06;2018-09-24;2018-09-24;42742.1;6.99
8724731934863284019;2018-09;2018-09-09;2018-09-25;2018-09-25;78540.1;6.99
314309872114206760;2018-08;2018-08-17;2018-09-17;2018-09-17;46626.0;6.99
314309872114206760;2018-08;2018-08-18;2018-09-18;2018-09-18;46626.0;6.99
314309872114206760;2018-08;2018-08-20;2018-09-19;2018-09-19;31084.0;6.99
314309872114206760;2018-08;2018-08-23;2018-09-24;2018-09-24;31084.0;6.99
314309872114206760;2018-09;2018-09-03;2018-09-19;2018-10-03;31084.0;6.99
314309872114206760;2018-09;2018-09-06;2018-10-08;2018-10-08;31084.0;6.99
314309872114206760;2018-09;2018-09-10;2018-10-10;2018-10-10;31084.0;6.99
2250817603281429928;2018-08;2018-08-17;2018-09-03;2018-09-03;42903.1;5.99
2250817603281429928;2018-08;2018-08-21;2018-09-06;2018-09-06;96954.95;5.99
2250817603281429928;2018-08;2018-08-28;2018-09-13;2018-09-13;43397.0;5.99
2250817603281429928;2018-09;2018-09-06;2018-09-24;2018-09-24;97329.2;5.99
2250817603281429928;2018-09;2018-09-14;2018-10-01;2018-10-01;81472.0;5.99
5301988619224057921;2018-08;2018-08-17;2018-09-04;2018-09-03;36316.87;6.99
5301988619224057921;2018-08;2018-08-26;2018-09-11;2018-09-11;39089.52;6.99
5301988619224057921;2018-09;2018-09-10;2018-09-26;2018-09-26;56152.28;6.99
3248432590399829766;2018-08;2018-08-17;2018-09-03;2018-09-04;31550.49;11.99
3248432590399829766;2018-09;2018-09-03;2018-09-19;2018-09-19;33156.14;11.99
4095739077267179172;2018-08;2018-08-17;2018-09-03;2018-09-03;91187.75;6.99
4095739077267179172;2018-08;2018-08-27;2018-09-12;2018-09-12;48518.75;6.99
4095739077267179172;2018-09;2018-09-07;2018-09-24;2018-09-24;39633.1;6.99
4095739077267179172;2018-09;2018-09-12;2018-10-01;2018-09-28;78996.55;6.99
4095739077267179172;2018-09;2018-09-13;2018-10-01;2018-10-01;86008.45;6.99
2092588065958607289;2018-08;2018-08-17;2018-09-03;2018-09-03;34379.4;5.99
2092588065958607289;2018-08;2018-08-20;2018-09-05;2018-09-05;17134.32;5.99
2092588065958607289;2018-08;2018-08-24;2018-09-10;2018-09-10;24979.9;5.99
2092588065958607289;2018-08;2018-08-27;2018-09-12;2018-09-12;31150.84;5.99
2092588065958607289;2018-08;2018-08-28;2018-09-13;2018-09-13;84342.5;5.99
2092588065958607289;2018-08;2018-08-30;2018-09-17;2018-09-17;25142.3;5.99
2092588065958607289;2018-08;2018-08-30;2018-10-05;2018-10-05;945.6;5.99
2092588065958607289;2018-09;2018-09-11;2018-09-28;2018-09-28;17639.6;5.99
2092588065958607289;2018-09;2018-09-14;2018-10-01;2018-10-01;22176.2;5.99
1078687383992817574;2018-08;2018-08-17;2018-10-02;2018-10-01;91448.7;5.99
1078687383992817574;2018-08;2018-08-19;2018-10-04;2018-10-03;30648.8;5.99
1078687383992817574;2018-08;2018-08-19;2018-10-04;2018-10-03;31231.3;5.99
1078687383992817574;2018-08;2018-08-21;2018-10-08;2018-10-05;91448.7;5.99
1078687383992817574;2018-08;2018-08-21;2018-10-08;2018-10-05;15241.45;5.99
1078687383992817574;2018-08;2018-08-21;2018-10-08;2018-10-05;30648.8;5.99
1078687383992817574;2018-08;2018-08-23;2018-10-10;2018-10-08;106690.15;5.99
1078687383992817574;2018-08;2018-08-24;2018-10-10;2018-10-08;76622.0;5.99
1078687383992817574;2018-08;2018-08-26;2018-10-10;2018-10-10;30648.8;5.99
1078687383992817574;2018-08;2018-08-27;2018-10-11;2018-10-11;15241.45;5.99
1078687383992817574;2018-08;2018-08-29;2018-10-15;2018-10-15;30482.9;5.99
1078687383992817574;2018-08;2018-08-30;2018-10-15;2018-10-15;30482.9;5.99
1078687383992817574;2018-09;2018-09-02;2018-10-17;2018-10-17;30487.7;5.99
1078687383992817574;2018-09;2018-09-03;2018-10-19;2018-10-18;30653.6;5.99
1078687383992817574;2018-09;2018-09-06;2018-10-24;2018-10-22;46771.35;5.99
1078687383992817574;2018-09;2018-09-07;2018-10-24;2018-10-22;15326.8;5.99
1078687383992817574;2018-09;2018-09-09;2018-10-25;2018-10-24;76634.0;5.99
1078687383992817574;2018-09;2018-09-13;2018-10-30;2018-10-29;31237.3;5.99
4717593620120611957;2018-08;2018-08-17;2018-09-17;2018-09-17;35824.1;4.99
4717593620120611957;2018-08;2018-08-20;2018-09-19;2018-09-19;17912.05;4.99
4717593620120611957;2018-08;2018-08-23;2018-09-24;2018-09-24;17912.05;4.99
4717593620120611957;2018-09;2018-09-03;2018-10-03;2018-10-03;36145.9;4.99
4717593620120611957;2018-09;2018-09-06;2018-10-08;2018-10-08;35965.9;4.99
4717593620120611957;2018-09;2018-09-09;2018-10-09;2018-10-09;35965.9;4.99
4717593620120611957;2018-09;2018-09-10;2018-10-10;2018-10-10;17982.95;4.99
7970976988071755401;2018-08;2018-08-17;2018-09-24;2018-09-25;71594.86;4.99
7970976988071755401;2018-08;2018-08-20;2018-09-25;2018-09-26;74514.88;4.99
7970976988071755401;2018-08;2018-08-30;2018-10-05;2018-10-05;74514.88;4.99
7970976988071755401;2018-08;2018-08-31;2018-10-08;2018-10-09;74514.88;4.99
7970976988071755401;2018-09;2018-09-02;2018-10-08;2018-10-09;77901.92;4.99
7970976988071755401;2018-09;2018-09-05;2018-10-11;2018-10-11;77901.92;4.99
7970976988071755401;2018-09;2018-09-07;2018-10-15;2018-10-15;77901.92;4.99
7970976988071755401;2018-09;2018-09-07;2018-10-15;2018-10-16;77901.92;4.99
7970976988071755401;2018-09;2018-09-12;2018-10-18;2018-10-18;74514.88;4.99
7970976988071755401;2018-09;2018-09-12;2018-10-18;2018-10-18;77901.92;4.99
7970976988071755401;2018-09;2018-09-14;2018-10-22;2018-10-23;77901.92;4.99
1683619849073499603;2018-08;2018-08-17;2018-09-03;2018-09-03;48664.25;5.99
1683619849073499603;2018-08;2018-08-28;2018-09-14;2018-09-14;72425.0;5.99
1683619849073499603;2018-08;2018-08-30;2018-10-05;2018-10-05;1182.0;5.99
8784237149961904;2018-08;2018-08-17;2018-09-04;2018-09-04;100616.1;5.99
8784237149961904;2018-08;2018-08-22;2018-09-11;2018-09-11;89552.8;5.99
8784237149961904;2018-08;2018-08-23;2018-09-10;2018-09-10;94062.8;5.99
8784237149961904;2018-08;2018-08-23;2018-09-08;2018-09-10;102686.1;5.99
8784237149961904;2018-08;2018-08-24;2018-09-11;2018-09-11;51393.0;5.99
8784237149961904;2018-09;2018-09-04;2018-09-24;2018-09-24;59610.76;5.99
8784237149961904;2018-09;2018-09-06;2018-09-24;2018-09-24;39398.06;5.99
8784237149961904;2018-09;2018-09-09;2018-09-25;2018-09-25;55416.75;5.99
8784237149961904;2018-09;2018-09-11;2018-09-27;2018-09-27;11751.35;5.99
6926309382371178621;2018-08;2018-08-17;2018-09-03;2018-09-04;31813.9;6.99
5753677550753111444;2018-08;2018-08-17;2018-09-03;2018-09-03;52382.8;4.99
5753677550753111444;2018-08;2018-08-22;2018-09-10;2018-09-10;55341.08;4.99
5753677550753111444;2018-08;2018-08-31;2018-09-17;2018-09-17;70669.5;4.99
5753677550753111444;2018-09;2018-09-14;2018-10-01;2018-10-01;33575.2;4.99
4524147234488547993;2018-08;2018-08-17;2018-09-03;2018-09-03;105278.0;5.99
4524147234488547993;2018-08;2018-08-23;2018-09-10;2018-09-10;42119.6;5.99
4524147234488547993;2018-08;2018-08-28;2018-09-13;2018-09-13;14330.55;5.99
4524147234488547993;2018-08;2018-08-28;2018-09-13;2018-09-13;42448.9;5.99
4524147234488547993;2018-09;2018-09-04;2018-09-20;2018-09-20;115858.3;5.99
4524147234488547993;2018-09;2018-09-05;2018-09-21;2018-09-21;79309.0;5.99
4524147234488547993;2018-09;2018-09-11;2018-09-27;2018-09-27;22055.0;5.99
4524147234488547993;2018-09;2018-09-13;2018-10-01;2018-10-01;36231.85;5.99
4347826483121154490;2018-08;2018-08-17;2018-09-05;2018-09-05;190201.6;4.99
4347826483121154490;2018-08;2018-08-20;2018-09-05;2018-09-05;33814.2;4.99
4347826483121154490;2018-08;2018-08-21;2018-09-10;2018-09-10;144755.2;4.99
4347826483121154490;2018-08;2018-08-23;2018-09-10;2018-09-10;75593.1;4.99
4347826483121154490;2018-08;2018-08-28;2018-09-17;2018-09-17;37348.34;4.99
4347826483121154490;2018-08;2018-08-30;2018-09-17;2018-09-17;33814.2;4.99
4347826483121154490;2018-08;2018-08-30;2018-09-17;2018-09-17;99673.87;4.99
4347826483121154490;2018-09;2018-09-02;2018-09-18;2018-09-18;132484.17;4.99
4347826483121154490;2018-09;2018-09-05;2018-09-21;2018-09-21;40577.04;4.99
4347826483121154490;2018-09;2018-09-13;2018-10-01;2018-10-01;131875.38;4.99
6100972975033180377;2018-08;2018-08-17;2018-09-03;2018-09-03;66595.05;11.99
6100972975033180377;2018-08;2018-08-24;2018-09-10;2018-09-10;32582.6;11.99
4334472256949955221;2018-08;2018-08-17;2018-09-03;2018-09-03;38391.54;5.99
4334472256949955221;2018-09;2018-09-02;2018-09-19;2018-09-19;35776.77;5.99
2619109825960703851;2018-08;2018-08-17;2018-09-06;2018-09-06;32052.0;6.99
2619109825960703851;2018-09;2018-09-06;2018-09-26;2018-09-26;32052.0;6.99
2619109825960703851;2018-09;2018-09-10;2018-10-01;2018-10-01;16026.0;6.99
2397171153213063761;2018-08;2018-08-17;2018-09-03;2018-09-03;51610.2;6.99
2397171153213063761;2018-08;2018-08-19;2018-09-04;2018-09-04;51610.2;6.99
2397171153213063761;2018-08;2018-08-27;2018-09-12;2018-09-12;35083.9;6.99
2397171153213063761;2018-08;2018-08-29;2018-09-14;2018-09-14;12629.8;6.99
2397171153213063761;2018-08;2018-08-30;2018-10-05;2018-10-05;1656.0;6.99
2397171153213063761;2018-09;2018-09-02;2018-09-18;2018-09-18;22521.65;6.99
2397171153213063761;2018-09;2018-09-03;2018-10-25;2018-10-25;30290.0;6.99
2397171153213063761;2018-09;2018-09-03;2018-09-19;2018-09-19;;6.99
2397171153213063761;2018-09;2018-09-05;2018-09-21;2018-09-21;51459.9;6.99
2397171153213063761;2018-09;2018-09-06;2018-09-25;2018-09-25;22454.05;6.99
2397171153213063761;2018-09;2018-09-06;2018-09-25;2018-09-25;68491.0;6.99
2397171153213063761;2018-09;2018-09-06;2018-09-25;2018-09-25;34306.6;6.99
2397171153213063761;2018-09;2018-09-07;2018-09-24;2018-09-24;22079.05;6.99
2397171153213063761;2018-09;2018-09-09;2018-09-25;2018-09-25;51368.25;6.99
2397171153213063761;2018-09;2018-09-09;2018-09-25;2018-09-25;34306.6;6.99
2397171153213063761;2018-09;2018-09-10;2018-09-26;2018-09-26;68491.0;6.99
2397171153213063761;2018-09;2018-09-11;2018-09-28;2018-09-28;51459.9;6.99
683445437387317282;2018-08;2018-08-17;2018-09-04;2018-09-04;22087.82;6.99
683445437387317282;2018-08;2018-08-19;2018-09-06;2018-09-06;22087.82;6.99
683445437387317282;2018-08;2018-08-24;2018-09-11;2018-09-11;12898.02;6.99
683445437387317282;2018-08;2018-08-31;2018-09-18;2018-09-18;13534.59;6.99
683445437387317282;2018-09;2018-09-03;2018-09-20;2018-09-21;13420.3;6.99
683445437387317282;2018-09;2018-09-04;2018-09-24;2018-09-24;16942.03;6.99
683445437387317282;2018-09;2018-09-09;2018-09-27;2018-09-27;13420.3;6.99
192916471960784723;2018-08;2018-08-17;2018-09-17;2018-09-17;47215.5;5.99
192916471960784723;2018-08;2018-08-20;2018-09-19;2018-09-19;15498.5;5.99
192916471960784723;2018-08;2018-08-23;2018-09-24;2018-09-24;50363.2;5.99
192916471960784723;2018-09;2018-09-02;2018-10-02;2018-10-02;15498.5;5.99
192916471960784723;2018-09;2018-09-11;2018-10-11;2018-10-11;22846.65;5.99
192916471960784723;2018-09;2018-09-11;2018-10-11;2018-10-11;50363.2;5.99
192916471960784723;2018-09;2018-09-13;2018-10-15;2018-10-16;;5.99
192916471960784723;2018-09;2018-09-14;2018-10-15;2018-10-16;15465.0;5.99
2634859679238614382;2018-08;2018-08-17;2018-09-03;2018-09-03;85375.2;11.99
2634859679238614382;2018-08;2018-08-20;2018-09-05;2018-09-05;97534.85;11.99
2634859679238614382;2018-08;2018-08-25;2018-09-13;2018-09-13;90525.9;11.99
2634859679238614382;2018-08;2018-08-25;2018-09-13;2018-09-13;74517.5;11.99
2634859679238614382;2018-09;2018-09-06;2018-09-24;2018-09-24;85810.3;11.99
2634859679238614382;2018-09;2018-09-09;2018-09-25;2018-09-25;94685.8;11.99
2634859679238614382;2018-09;2018-09-11;2018-09-27;2018-09-27;94685.45;11.99
2634859679238614382;2018-09;2018-09-14;2018-10-01;2018-10-01;141808.65;11.99
940214356651040716;2018-08;2018-08-17;2018-09-06;2018-09-03;18000.0;6.99
940214356651040716;2018-09;2018-09-10;2018-10-01;2018-10-01;42457.87;6.99
1192891347324061812;2018-08;2018-08-17;2018-09-03;2018-09-03;20320.0;4.99
1192891347324061812;2018-08;2018-08-22;2018-09-10;2018-09-10;20120.0;4.99
1192891347324061812;2018-08;2018-08-24;2018-09-10;2018-09-10;20620.0;4.99
1192891347324061812;2018-08;2018-08-26;2018-09-11;2018-09-11;23390.0;4.99
1192891347324061812;2018-08;2018-08-28;2018-09-13;2018-09-13;20295.0;4.99
1192891347324061812;2018-08;2018-08-31;2018-09-17;2018-09-17;20395.0;4.99
1192891347324061812;2018-09;2018-09-09;2018-09-25;2018-09-25;11895.0;4.99
1192891347324061812;2018-09;2018-09-11;2018-09-27;2018-09-27;20495.0;4.99
1192891347324061812;2018-09;2018-09-11;2018-09-27;2018-09-27;20995.0;4.99
8901696535927078963;2018-08;2018-08-17;2018-09-03;2018-09-03;76369.2;4.99
8901696535927078963;2018-08;2018-08-26;2018-09-11;2018-09-11;30177.5;4.99
8901696535927078963;2018-08;2018-08-26;2018-09-11;2018-09-11;93530.64;4.99
8901696535927078963;2018-08;2018-08-31;2018-09-28;2018-09-17;10000.0;4.99
8901696535927078963;2018-09;2018-09-03;2018-10-02;2018-09-19;6660.0;4.99
8901696535927078963;2018-09;2018-09-06;2018-09-24;2018-09-24;92130.64;4.99
8901696535927078963;2018-09;2018-09-06;2018-09-24;2018-09-24;9556.0;4.99
8901696535927078963;2018-09;2018-09-07;2018-09-24;2018-09-24;42651.2;4.99
8901696535927078963;2018-09;2018-09-10;2018-09-26;2018-09-26;92130.64;4.99
8901696535927078963;2018-09;2018-09-13;2018-10-01;2018-10-01;72388.36;4.99
3022528659032597047;2018-08;2018-08-17;2018-09-03;2018-09-03;93654.8;6.99
3022528659032597047;2018-08;2018-08-20;2018-09-05;2018-09-05;33233.4;6.99
3022528659032597047;2018-08;2018-08-23;2018-09-10;2018-09-10;31463.0;6.99
3022528659032597047;2018-08;2018-08-30;2018-10-05;2018-10-05;1182.0;6.99
3022528659032597047;2018-09;2018-09-06;2018-09-24;2018-09-24;96370.85;6.99
3022528659032597047;2018-09;2018-09-07;2018-09-24;2018-09-24;22589.98;6.99
7810315632865163836;2018-08;2018-08-17;2018-09-10;2018-09-10;21250.45;6.99
6964108750473070287;2018-08;2018-08-17;2018-09-19;2018-09-24;50467.5;6.99
6964108750473070287;2018-08;2018-08-19;2018-09-19;2018-09-24;49557.3;6.99
6964108750473070287;2018-08;2018-08-19;2018-09-19;2018-09-24;50157.42;6.99
6964108750473070287;2018-08;2018-08-19;2018-09-05;2018-09-10;30852.14;6.99
6964108750473070287;2018-08;2018-08-20;2018-09-20;2018-09-25;100631.6;6.99
6964108750473070287;2018-08;2018-08-26;2018-09-25;2018-10-01;100935.0;6.99
6964108750473070287;2018-08;2018-08-26;2018-09-27;2018-10-01;43616.46;6.99
6964108750473070287;2018-08;2018-08-27;2018-10-01;2018-10-02;50103.42;6.99
6964108750473070287;2018-08;2018-08-27;2018-10-01;2018-10-02;;6.99
6964108750473070287;2018-08;2018-08-28;2018-10-01;2018-10-03;77080.1;6.99
6964108750473070287;2018-08;2018-08-28;2018-09-18;2018-09-19;30919.36;6.99
6964108750473070287;2018-08;2018-08-29;2018-10-01;2018-10-04;53225.2;6.99
6964108750473070287;2018-08;2018-08-29;2018-09-27;2018-10-04;99721.4;6.99
6964108750473070287;2018-08;2018-08-31;2018-10-03;2018-10-08;50042.74;6.99
6964108750473070287;2018-09;2018-09-01;2018-10-04;2018-10-09;201870.0;6.99
6964108750473070287;2018-09;2018-09-02;2018-09-19;2018-09-24;62006.76;6.99
6964108750473070287;2018-09;2018-09-06;2018-10-05;2018-10-15;43166.46;6.99
6964108750473070287;2018-09;2018-09-06;2018-10-05;2018-10-15;200070.0;6.99
6964108750473070287;2018-09;2018-09-07;2018-10-05;2018-10-15;49714.1;6.99
6964108750473070287;2018-09;2018-09-07;2018-09-26;2018-10-01;62552.86;6.99
6964108750473070287;2018-09;2018-09-07;2018-10-05;2018-10-15;196429.2;6.99
6964108750473070287;2018-09;2018-09-07;2018-10-05;2018-10-15;72994.92;6.99
6964108750473070287;2018-09;2018-09-07;2018-10-05;2018-10-15;49410.7;6.99
6964108750473070287;2018-09;2018-09-09;2018-10-09;2018-10-15;49107.3;6.99
6964108750473070287;2018-09;2018-09-09;2018-09-26;2018-10-01;63124.28;6.99
6964108750473070287;2018-09;2018-09-10;2018-10-10;2018-10-16;72024.04;6.99
6964108750473070287;2018-09;2018-09-11;2018-10-15;2018-10-17;50017.5;6.99
6964108750473070287;2018-09;2018-09-11;2018-10-15;2018-10-17;76316.6;6.99
6964108750473070287;2018-09;2018-09-11;2018-10-15;2018-10-17;49410.7;6.99
6964108750473070287;2018-09;2018-09-12;2018-10-16;2018-10-18;43348.5;6.99
6964108750473070287;2018-09;2018-09-12;2018-10-15;2018-10-18;73359.0;6.99
6964108750473070287;2018-09;2018-09-12;2018-10-15;2018-10-18;76511.46;6.99
6964108750473070287;2018-09;2018-09-12;2018-10-15;2018-10-18;72388.12;6.99
6964108750473070287;2018-09;2018-09-13;2018-10-16;2018-10-19;49107.3;6.99
6964108750473070287;2018-09;2018-09-14;2018-10-17;2018-10-22;196429.2;6.99
7818340804682162328;2018-08;2018-08-17;2018-09-06;2018-09-06;38007.96;6.99
7818340804682162328;2018-08;2018-08-26;2018-09-17;2018-09-17;62334.28;6.99
7818340804682162328;2018-08;2018-08-26;2018-09-20;2018-09-20;16914.91;6.99
7671566034617837932;2018-08;2018-08-18;2018-09-04;2018-09-04;100416.68;5.99
7671566034617837932;2018-08;2018-08-22;2018-09-11;2018-09-11;200834.48;5.99
7671566034617837932;2018-08;2018-08-30;2018-09-17;2018-09-17;102263.13;5.99
7671566034617837932;2018-08;2018-08-30;2018-09-17;2018-09-17;99481.76;5.99
7671566034617837932;2018-08;2018-08-30;2018-09-17;2018-09-17;196458.08;5.99
7671566034617837932;2018-09;2018-09-01;2018-09-18;2018-09-18;102263.13;5.99
7671566034617837932;2018-09;2018-09-01;2018-09-18;2018-09-18;99983.13;5.99
7671566034617837932;2018-09;2018-09-01;2018-09-18;2018-09-18;146641.92;5.99
7671566034617837932;2018-09;2018-09-02;2018-09-19;2018-09-19;196794.02;5.99
7671566034617837932;2018-09;2018-09-03;2018-09-20;2018-09-20;100630.18;5.99
7671566034617837932;2018-09;2018-09-11;2018-09-28;2018-09-28;196794.02;5.99
7671566034617837932;2018-09;2018-09-11;2018-09-28;2018-09-28;98397.01;5.99
